Time,Engine speed,AFR desired,02 Correction,Boost actual,Boost requested,Boost duty,Intake temp,TPS,Timing advance,Knock cyl 1,Knock cyl 2,Knock cyl 3,Knock cyl 4,Engine Load,Engine load spec.,Mass air flow,Coolant temp,Battery voltage,Injection time
09:52:38:0931,760,,13.7,104.5,104.5,2.0,,2.4,-6.0,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:38:1749,760,,13.7,104.5,104.5,2.0,,2.4,-6.0,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:38:2559,760,,13.7,104.5,104.5,2.0,,2.4,-6.0,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:38:3373,760,,11.3,104.5,104.5,2.0,,2.4,-6.0,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:38:4694,760,,11.3,104.5,104.5,2.0,,2.4,-5.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:38:5505,760,,11.3,104.5,104.5,2.0,,2.4,-5.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:38:6318,760,,11.3,104.5,104.5,2.0,,2.4,-5.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:38:7230,760,,9.0,104.5,104.5,2.0,,2.4,-5.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:38:8248,760,,9.0,104.5,104.5,2.0,,2.4,-5.3,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:38:9770,760,,9.0,104.5,104.5,2.0,,2.4,-5.3,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:39:0586,760,,9.0,104.5,104.5,2.0,,2.4,-5.3,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:39:1397,760,,6.6,104.5,104.5,2.0,,2.4,-5.3,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:39:2210,760,,6.6,104.5,104.5,2.0,,2.4,-5.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:39:3022,760,,6.6,104.5,104.5,2.0,,2.4,-5.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:39:4239,760,,6.6,104.5,104.5,2.0,,2.4,-5.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
